"Time","Video title","Video link","Post time","Total likes","Total comments","Total shares","Total views"
"August 23","保健品公司的隐藏福利：免费的解压神器！ 🙄  根本不用花钱买什么解压玩具，每天一打卡上班，免费get“解压捏捏乐”！ #cosmaxnbt #功能性食品 #保健品 #ODM #打工人的日常 #解压 #解压视频 #解压玩具 #上班日常 #职场日常 #打工人的快乐","https://www.tiktok.com/@cosmaxnbt/video/7664757795371224341","July 21","3","0","0","172"
"August 23","液体也能像丝绸一样顺滑？✨💧 颠覆传统的液态分散科技 为您介绍 COSMAX NBT 自主研发的 液体分散技术 🌊 💧 高含量矿物质也能均匀分散，不沉淀不结块 🧊 实现"丝滑流动"般的细腻口感，告别黏稠浊感 🔥 高温工艺下依然稳定，保质期长达 18 个月 💊 凝聚 COSMAX NBT 独家分散技术，让液态营养品也能像丝绸一样优雅入口！ 适用产品：高钙镁液体、Omega-3 软糖、叶黄素软糖、液态复合维生素 🍋 #cosmaxnbt #液体分散技术 #功能性食品 #营养随行 #制剂技术 #健康生活 #ODM","https://www.tiktok.com/@cosmaxnbt/video/7656610844243021076","June 29","2","0","0","122"
"August 23","吞药片太大太痛苦？小一点的更轻松！💊✨ 小巧不简单，营养不打折  为您介绍 COSMAX NBT 自主研发的 ADAM™ 小型化制片技术 🔬  💊 体积更小，营养却不缩水 — 高密度压片实现成分浓缩  👵 老人小孩都易吞服，全家共享的贴心健康方案  🎒 小巧好携带，旅行办公随时随地补营养  🏆 COSMAX NBT 独家压片科技，品质看得见 💡 凝聚 COSMAX NBT 独家制片技术，让每一颗"迷你药片"承载满满健康！ 适用产品：复合维生素、矿物质、益生菌、功能性原料 🌿 #cosmaxnbt #ADAM #小型化技术 #迷你片剂 #易吞服 #制剂技术 #功能性食品 #营养随行 #健康生活 #ODM","https://www.tiktok.com/@cosmaxnbt/video/7656612008418102548","June 29","1","0","0","116"
"August 23","注射美容已经过时？现在流行"口服 PDRN"！💉✨ 由内而外的逆龄黑科技 为您介绍 COSMAX NBT 重磅推出的 口服 PDRN 原料 🧬 🧬 三文鱼来源 PDRN — 与皮肤组织高度亲和 ✨ 从内而外激活细胞，唤醒肌肤再生力 💧 改善弹性、紧致与水润度，全方位抗衰焕颜 🔬 突破注射壁垒，口服也能享受 PDRN 美容功效 💊 凝聚 COSMAX NBT 独家原料技术，让 K-Beauty 注射级护理融入每一天的口服日常！ 适用产品：抗衰口服液、美容果凍、片剂、Inner Beauty 全系列 🌸 #cosmaxnbt #PDRN #口服PDRN #口服美容 #抗衰老 #逆龄黑科技 #KBeauty #InnerBeauty #细胞再生 #三文鱼DNA #功能性食品 #ODM #美容健康 #健康生活 #食品趋势","https://www.tiktok.com/@cosmaxnbt/video/7656613512516488469","June 29","2","0","0","98"
"August 23","Q弹软糯、美味可口的“软糖 (Gummy)”剂型 健康又美味 为您介绍Q弹软糯的功能性软糖健康食品 🌈 💛 减肥、美肤等多种功能性软糖 🧡 无糖软糖 💚 低糖软糖 像零食一样好吃的功能性软糖，让您感受健康与乐趣！😋 💊 提供凝聚COSMAX NBT独家剂型技术的健康功能食品 #cosmaxnbt#软糖 #果冻 #零食 #健康零食 #剂型技术 #健康功能食品 #营养品 #食品趋势 #食品制造 #ODM #健康信息","https://www.tiktok.com/@cosmaxnbt/video/7442567263783243015","November 29","4","1","0","192"
"August 23","好产品，更需要好包装！📦✨ COSMAX NBT 提供创新包装解决方案， 不仅方便携带，更提升了产品的功能性与体验感！ 💡 双重泡罩板：每日营养分区包装，轻松管理摄取量 💧 双层剂型：液体+片剂(或胶囊)，双重成分一瓶搞定 💊 包装即科技，健康更智能！ 提供融合设计感与实用性的健康功能食品包装！ #cosmaxnbt #包装技术 #健康功能食品 #双重包装 #PTP包装 #创新设计 #剂型技术 #食品趋势 #ODM #智能营养 #包装美学","https://www.tiktok.com/@cosmaxnbt/video/7521622643380899080","June 30","2","1","0","150"
"August 23","2024 COSMAX NBT Year in Review 📢 A look back at the incredible milestones and innovations from COSMAX NBT in 2024! 🙌 From groundbreaking technologies to global collaborations, we’ve made strides in shaping the future of health and wellness. ✨ Relive the highlights and join us as we step into an even brighter 2025! 💪 #COSMAXNBT #YearInReview #Innovations #GlobalHealth #FunctionalFoods #NBTJourney #2024Highlights","https://www.tiktok.com/@cosmaxnbt/video/7454397463705816338","December 31","9","0","0","152"
"August 23","Having trouble swallowing multiple supplements? Introduce the "Ultra mini a:dam", small in size but full in functionality💪🏼 ✔ Size reduced by up to 66% ✔ Excipients reduced by up to 87% ✔ Full functionality, only smaller in size Enjoy easy swallowing with the compact size of health supplements Meet CosmaxNBT's "𝐚:𝐝𝐚𝐦"! 💊 Providing health supplements with CosmaxNBT’s unique formulation technology #COSMAXNBT #mini #adam #supplement #ODM #global #formulationtech","https://www.tiktok.com/@cosmaxnbt/video/7410294943027055890","September 3","86","0","2","136506"
"August 23","轻巧便携，好看又实用的“袋装包装”来啦！🎒✨ 方便又时尚 为您介绍COSMAX NBT热销的袋装健康功能食品包装 🌈 💛 一次一袋，携带方便，随时补充营养 🧡 多种设计风格，满足不同人群审美 💚 环保材质 + 智能密封，兼顾品质与实用 💊 凝聚COSMAX NBT独家包装技术， 让健康从“袋袋相传”开始！ #cosmaxnbt #袋装包装 #功能性食品 #便携包装 #营养随行 #包装创新 #健康生活 #ODM #包装设计 #食品趋势 #健康信息","https://www.tiktok.com/@cosmaxnbt/video/7521623395499330824","June 30","2","0","0","134"
"August 23","酥酥脆脆、入口即化的“膨化零食”剂型来啦！✨ 好吃又健康 为您介绍轻盈蓬松的功能性零食化健康食品 🌟 💛 新奇口感，酥脆又不失营养 🧡 功能多样：减肥、美肤、助眠等任选 💚 清爽轻盈，轻松补充每日营养 💊 凝聚COSMAX NBT独家膨化剂型技术 实现“好吃 + 有效”双重体验！ #cosmaxnbt #膨化零食#健康零食 #剂型技术 #健康功能食品 #营养品 #食品趋势 #ODM #营养新体验 #功能性食品","https://www.tiktok.com/@cosmaxnbt/video/7521619025663626503","June 30","1","0","0","136"
